level_0,index,Participant,State,Activity,Minute,MET (Google Fit),Datetime,Watch Intensity,MET (Ainsworth),MET (Freedson),MET (VM3),model_classification,scaled_intensity,estimation
1681,1701,P405,lab,breathing,1,0.7944586027836096,2019-10-09 13:01:00,3.5303356476601286,1.0,1.439008,0.7698617510592459,0,2.7101149070735895,1.5
1682,1702,P405,lab,breathing,2,0.7944586027836096,2019-10-09 13:02:00,1.3263726980655837,1.0,1.439008,0.668876,0,1.8297903940429399,1.5
1683,1703,P405,lab,breathing,3,0.7944586027836096,2019-10-09 13:03:00,3.752018199182496,1.0,1.439008,0.698218,0,2.7986611252630658,1.5
1684,1704,P405,lab,breathing,4,0.7944586027836096,2019-10-09 13:04:00,0.3290732311564823,1.0,1.439008,0.69304,0,1.4314410625743714,1.4314410625743714
1685,1705,P405,lab,breathing,5,0.7944586027836096,2019-10-09 13:05:00,2.502338009619801,1.0,1.439008,0.7085739999999999,0,2.299503866506418,1.5
1686,1706,P405,lab,sweeping,1,0.9079526888955538,2019-10-09 13:07:00,4.555665013694357,2.3,1.466833,0.833460304534181,1,3.1196601650899094,3.1196601650899094
1687,1707,P405,lab,sweeping,2,0.9079526888955538,2019-10-09 13:08:00,3.999244835527136,2.3,1.439008,0.8735089324058081,1,2.897410366164933,2.897410366164933
1688,1708,P405,lab,sweeping,3,0.9079526888955538,2019-10-09 13:09:00,3.5119893576573995,2.3,1.442188,0.7809763449459457,1,2.7027868851503802,2.7027868851503802
1689,1709,P405,lab,sweeping,4,0.9079526888955538,2019-10-09 13:10:00,2.5568132923766007,2.3,1.439008,0.7663300624499564,1,2.321262819747401,2.321262819747401
1690,1710,P405,lab,sweeping,5,0.9079526888955538,2019-10-09 13:11:00,2.2322686077373777,2.3,1.439008,0.6809580000000001,1,2.1916305854513256,2.1916305854513256
1691,1711,P405,lab,breathing,1,0.7944586027836096,2019-10-09 13:03:00,3.752018199182496,1.0,1.439008,0.698218,0,2.7986611252630658,1.5
1692,1712,P405,lab,breathing,2,0.7944586027836096,2019-10-09 13:04:00,0.3290732311564823,1.0,1.439008,0.69304,0,1.4314410625743714,1.4314410625743714
1693,1713,P405,lab,breathing,3,0.7944586027836096,2019-10-09 13:05:00,2.502338009619801,1.0,1.439008,0.7085739999999999,0,2.299503866506418,1.5
